ElementId,Category,Family,Type,Level,HostWallId,OriX,OriY,OriZ,Azimuth (°),Glass Area (m²)
383893,Windows,M_Sliding with Trim,,00,342319,0.1,-0.99,-0.0,174.12,0.0
383894,Windows,M_Sliding with Trim,,00,342319,0.1,-0.99,-0.0,174.12,0.0
383895,Windows,M_Sliding with Trim,,00,342319,0.1,-0.99,-0.0,174.12,0.0
383896,Windows,M_Sliding with Trim,,00,342319,0.1,-0.99,-0.0,174.12,0.0
383897,Windows,M_Sliding with Trim,,00,342319,0.1,-0.99,-0.0,174.12,0.0
383898,Windows,M_Sliding with Trim,,00,342319,0.1,-0.99,-0.0,174.12,0.0
383899,Windows,M_Sliding with Trim,,00,342319,0.1,-0.99,-0.0,174.12,0.0
383900,Windows,M_Sliding with Trim,,00,342319,0.1,-0.99,-0.0,174.12,0.0
383901,Windows,M_Sliding with Trim,,00,342319,0.1,-0.99,-0.0,174.12,0.0
383684,Windows,M_Sliding with Trim,,04,342320,0.1,-0.99,0.0,174.12,0.0
383685,Windows,M_Sliding with Trim,,04,342320,0.1,-0.99,0.0,174.12,0.0
383686,Windows,M_Sliding with Trim,,04,342320,0.1,-0.99,0.0,174.12,0.0
383687,Windows,M_Sliding with Trim,,04,342320,0.1,-0.99,0.0,174.12,0.0
383688,Windows,M_Sliding with Trim,,04,342320,0.1,-0.99,0.0,174.12,0.0
383689,Windows,M_Sliding with Trim,,04,342320,0.1,-0.99,0.0,174.12,0.0
383690,Windows,M_Sliding with Trim,,04,342320,0.1,-0.99,0.0,174.12,0.0
383691,Windows,M_Sliding with Trim,,04,342320,0.1,-0.99,0.0,174.12,0.0
383692,Windows,M_Sliding with Trim,,04,342320,0.1,-0.99,0.0,174.12,0.0
383779,Windows,M_Sliding with Trim,,03,342320,0.1,-0.99,0.0,174.12,0.0
383780,Windows,M_Sliding with Trim,,03,342320,0.1,-0.99,0.0,174.12,0.0
383781,Windows,M_Sliding with Trim,,03,342320,0.1,-0.99,0.0,174.12,0.0
383782,Windows,M_Sliding with Trim,,03,342320,0.1,-0.99,0.0,174.12,0.0
383783,Windows,M_Sliding with Trim,,03,342320,0.1,-0.99,0.0,174.12,0.0
383784,Windows,M_Sliding with Trim,,03,342320,0.1,-0.99,0.0,174.12,0.0
383785,Windows,M_Sliding with Trim,,03,342320,0.1,-0.99,0.0,174.12,0.0
383786,Windows,M_Sliding with Trim,,03,342320,0.1,-0.99,0.0,174.12,0.0
383787,Windows,M_Sliding with Trim,,03,342320,0.1,-0.99,0.0,174.12,0.0
383797,Windows,M_Sliding with Trim,,02,342320,0.1,-0.99,0.0,174.12,0.0
383798,Windows,M_Sliding with Trim,,02,342320,0.1,-0.99,0.0,174.12,0.0
383799,Windows,M_Sliding with Trim,,02,342320,0.1,-0.99,0.0,174.12,0.0
383800,Windows,M_Sliding with Trim,,02,342320,0.1,-0.99,0.0,174.12,0.0
383801,Windows,M_Sliding with Trim,,02,342320,0.1,-0.99,0.0,174.12,0.0
383802,Windows,M_Sliding with Trim,,02,342320,0.1,-0.99,0.0,174.12,0.0
383803,Windows,M_Sliding with Trim,,02,342320,0.1,-0.99,0.0,174.12,0.0
383804,Windows,M_Sliding with Trim,,02,342320,0.1,-0.99,0.0,174.12,0.0
383805,Windows,M_Sliding with Trim,,02,342320,0.1,-0.99,0.0,174.12,0.0
383875,Windows,M_Sliding with Trim,,02,342320,0.1,-0.99,0.0,174.12,0.0
